[ T - Deposit ]
    title = Total Energy Deposition in silicon
     mesh =  reg            # mesh type is region-wise
      reg = 100
     unit =    3            # unit is [1/source] : only for output=deposit
   letmat =    0            # (D=0) mat ID for LET, 0:real mat, <0: electron for H2O
  dedxfnc =    0            # (D=0) user defined multiplier, 0(no), 1, 2
 material =  all            # (D=all) number of specific material
   output = deposit         # deposit enerygy distribution
  deposit =    0            # (D=0) 0-> total deposit dist, 1-> each process
   e-type =    3            # e-mesh is log given by emin, emax and ne
     emin =  1.1000000E-02  # minimum value of e-mesh points
     emax =   500.0000      # maximum value of e-mesh points
#    edel =  5.3622341E-02  # mesh width of e-mesh points
       ne =    200          # number of e-mesh points
#    data = ( e(i), i = 1, ne + 1 )
#           1.10000E-02  1.16059E-02  1.22453E-02  1.29198E-02  1.36315E-02
#           1.43824E-02  1.51747E-02  1.60106E-02  1.68926E-02  1.78231E-02
#           1.88049E-02  1.98408E-02  2.09338E-02  2.20869E-02  2.33036E-02
#           2.45873E-02  2.59417E-02  2.73708E-02  2.88785E-02  3.04693E-02
#           3.21477E-02  3.39186E-02  3.57871E-02  3.77584E-02  3.98384E-02
#           4.20329E-02  4.43484E-02  4.67914E-02  4.93689E-02  5.20884E-02
#           5.49578E-02  5.79852E-02  6.11794E-02  6.45495E-02  6.81053E-02
#           7.18569E-02  7.58153E-02  7.99916E-02  8.43980E-02  8.90472E-02
#           9.39525E-02  9.91279E-02  1.04588E-01  1.10350E-01  1.16429E-01
#           1.22842E-01  1.29609E-01  1.36749E-01  1.44282E-01  1.52230E-01
#           1.60615E-01  1.69463E-01  1.78798E-01  1.88647E-01  1.99039E-01
#           2.10003E-01  2.21572E-01  2.33777E-01  2.46655E-01  2.60242E-01
#           2.74578E-01  2.89704E-01  3.05662E-01  3.22500E-01  3.40265E-01
#           3.59009E-01  3.78785E-01  3.99651E-01  4.21666E-01  4.44894E-01
#           4.69402E-01  4.95259E-01  5.22541E-01  5.51326E-01  5.81696E-01
#           6.13740E-01  6.47548E-01  6.83219E-01  7.20855E-01  7.60564E-01
#           8.02460E-01  8.46665E-01  8.93304E-01  9.42513E-01  9.94432E-01
#           1.04921E+00  1.10701E+00  1.16799E+00  1.23233E+00  1.30021E+00
#           1.37184E+00  1.44741E+00  1.52714E+00  1.61126E+00  1.70002E+00
#           1.79367E+00  1.89247E+00  1.99672E+00  2.10671E+00  2.22276E+00
#           2.34521E+00  2.47440E+00  2.61070E+00  2.75451E+00  2.90625E+00
#           3.06634E+00  3.23526E+00  3.41347E+00  3.60151E+00  3.79990E+00
#           4.00922E+00  4.23008E+00  4.46309E+00  4.70895E+00  4.96835E+00
#           5.24203E+00  5.53079E+00  5.83546E+00  6.15692E+00  6.49608E+00
#           6.85392E+00  7.23148E+00  7.62983E+00  8.05013E+00  8.49358E+00
#           8.96145E+00  9.45511E+00  9.97595E+00  1.05255E+01  1.11053E+01
#           1.17170E+01  1.23625E+01  1.30435E+01  1.37620E+01  1.45201E+01
#           1.53200E+01  1.61639E+01  1.70543E+01  1.79937E+01  1.89849E+01
#           2.00307E+01  2.11341E+01  2.22983E+01  2.35267E+01  2.48227E+01
#           2.61900E+01  2.76328E+01  2.91549E+01  3.07610E+01  3.24555E+01
#           3.42433E+01  3.61296E+01  3.81199E+01  4.02197E+01  4.24353E+01
#           4.47729E+01  4.72393E+01  4.98415E+01  5.25870E+01  5.54839E+01
#           5.85402E+01  6.17650E+01  6.51674E+01  6.87572E+01  7.25448E+01
#           7.65410E+01  8.07573E+01  8.52059E+01  8.98996E+01  9.48518E+01
#           1.00077E+02  1.05590E+02  1.11406E+02  1.17543E+02  1.24018E+02
#           1.30850E+02  1.38058E+02  1.45663E+02  1.53687E+02  1.62153E+02
#           1.71085E+02  1.80510E+02  1.90453E+02  2.00944E+02  2.12014E+02
#           2.23693E+02  2.36015E+02  2.49016E+02  2.62733E+02  2.77206E+02
#           2.92477E+02  3.08588E+02  3.25587E+02  3.43522E+02  3.62445E+02
#           3.82411E+02  4.03477E+02  4.25703E+02  4.49153E+02  4.73895E+02
#           5.00000E+02
     axis =   eng           # axis of output
     file = deposit_Si.out  # file name of output for the above axis
     part =  all      
# kf/name :  0        
   epsout =    1            # (D=0) generate eps file by ANGEL
#    used :        main (  %)        temp (  %)       total (  %)
#  memory :         205 (  0)           0 (  0)         205 (  0)

#------------------------------------------------------------------------------
#newpage:
#   no. =  1   reg =    100

x: Deposit Energy [MeV]
y: Number [1/source]     
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l   n 
#  e-lower      e-upper      all         r.err 
   6.8322E-01   7.2085E-01   0.0000E+00  0.0000
   7.2085E-01   7.6056E-01   0.0000E+00  0.0000
   7.6056E-01   8.0246E-01   0.0000E+00  0.0000
   8.0246E-01   8.4666E-01   0.0000E+00  0.0000
   8.4666E-01   8.9330E-01   0.0000E+00  0.0000
   8.9330E-01   9.4251E-01   0.0000E+00  0.0000
   9.4251E-01   9.9443E-01   0.0000E+00  0.0000
   9.9443E-01   1.0492E+00   0.0000E+00  0.0000
   1.0492E+00   1.1070E+00   0.0000E+00  0.0000
   1.1070E+00   1.1680E+00   0.0000E+00  0.0000
   1.1680E+00   1.2323E+00   0.0000E+00  0.0000
   1.2323E+00   1.3002E+00   0.0000E+00  0.0000
   1.3002E+00   1.3718E+00   0.0000E+00  0.0000
   1.3718E+00   1.4474E+00   0.0000E+00  0.0000
   1.4474E+00   1.5271E+00   0.0000E+00  0.0000
   1.5271E+00   1.6113E+00   0.0000E+00  0.0000
   1.6113E+00   1.7000E+00   0.0000E+00  0.0000
   1.7000E+00   1.7937E+00   0.0000E+00  0.0000
   1.7937E+00   1.8925E+00   0.0000E+00  0.0000
   1.8925E+00   1.9967E+00   0.0000E+00  0.0000
   1.9967E+00   2.1067E+00   0.0000E+00  0.0000
   2.1067E+00   2.2228E+00   0.0000E+00  0.0000
   2.2228E+00   2.3452E+00   0.0000E+00  0.0000
   2.3452E+00   2.4744E+00   0.0000E+00  0.0000
   2.4744E+00   2.6107E+00   0.0000E+00  0.0000
   2.6107E+00   2.7545E+00   0.0000E+00  0.0000
   2.7545E+00   2.9062E+00   0.0000E+00  0.0000
   2.9062E+00   3.0663E+00   0.0000E+00  0.0000
   3.0663E+00   3.2353E+00   0.0000E+00  0.0000
   3.2353E+00   3.4135E+00   0.0000E+00  0.0000
   3.4135E+00   3.6015E+00   0.0000E+00  0.0000
   3.6015E+00   3.7999E+00   0.0000E+00  0.0000
   3.7999E+00   4.0092E+00   0.0000E+00  0.0000
   4.0092E+00   4.2301E+00   0.0000E+00  0.0000
   4.2301E+00   4.4631E+00   0.0000E+00  0.0000
   4.4631E+00   4.7089E+00   0.0000E+00  0.0000
   4.7089E+00   4.9683E+00   0.0000E+00  0.0000
   4.9683E+00   5.2420E+00   0.0000E+00  0.0000
   5.2420E+00   5.5308E+00   0.0000E+00  0.0000
   5.5308E+00   5.8355E+00   0.0000E+00  0.0000
   5.8355E+00   6.1569E+00   0.0000E+00  0.0000
   6.1569E+00   6.4961E+00   0.0000E+00  0.0000
   6.4961E+00   6.8539E+00   0.0000E+00  0.0000
   6.8539E+00   7.2315E+00   0.0000E+00  0.0000
   7.2315E+00   7.6298E+00   0.0000E+00  0.0000
   7.6298E+00   8.0501E+00   0.0000E+00  0.0000
   8.0501E+00   8.4936E+00   0.0000E+00  0.0000
   8.4936E+00   8.9615E+00   0.0000E+00  0.0000
   8.9615E+00   9.4551E+00   0.0000E+00  0.0000
   9.4551E+00   9.9760E+00   0.0000E+00  0.0000
   9.9760E+00   1.0525E+01   0.0000E+00  0.0000
   1.0525E+01   1.1105E+01   0.0000E+00  0.0000
   1.1105E+01   1.1717E+01   0.0000E+00  0.0000
   1.1717E+01   1.2362E+01   0.0000E+00  0.0000
   1.2362E+01   1.3043E+01   0.0000E+00  0.0000
   1.3043E+01   1.3762E+01   0.0000E+00  0.0000
   1.3762E+01   1.4520E+01   0.0000E+00  0.0000
   1.4520E+01   1.5320E+01   0.0000E+00  0.0000
   1.5320E+01   1.6164E+01   0.0000E+00  0.0000
   1.6164E+01   1.7054E+01   0.0000E+00  0.0000
   1.7054E+01   1.7994E+01   0.0000E+00  0.0000
   1.7994E+01   1.8985E+01   0.0000E+00  0.0000
   1.8985E+01   2.0031E+01   0.0000E+00  0.0000
   2.0031E+01   2.1134E+01   0.0000E+00  0.0000
   2.1134E+01   2.2298E+01   0.0000E+00  0.0000
   2.2298E+01   2.3527E+01   0.0000E+00  0.0000
   2.3527E+01   2.4823E+01   0.0000E+00  0.0000
   2.4823E+01   2.6190E+01   0.0000E+00  0.0000
   2.6190E+01   2.7633E+01   0.0000E+00  0.0000
   2.7633E+01   2.9155E+01   0.0000E+00  0.0000
   2.9155E+01   3.0761E+01   0.0000E+00  0.0000
   3.0761E+01   3.2455E+01   0.0000E+00  0.0000
   3.2455E+01   3.4243E+01   0.0000E+00  0.0000
   3.4243E+01   3.6130E+01   0.0000E+00  0.0000
   3.6130E+01   3.8120E+01   0.0000E+00  0.0000
   3.8120E+01   4.0220E+01   0.0000E+00  0.0000
   4.0220E+01   4.2435E+01   0.0000E+00  0.0000
   4.2435E+01   4.4773E+01   0.0000E+00  0.0000
   4.4773E+01   4.7239E+01   0.0000E+00  0.0000
   4.7239E+01   4.9841E+01   0.0000E+00  0.0000
   4.9841E+01   5.2587E+01   0.0000E+00  0.0000
   5.2587E+01   5.5484E+01   0.0000E+00  0.0000
   5.5484E+01   5.8540E+01   0.0000E+00  0.0000
   5.8540E+01   6.1765E+01   0.0000E+00  0.0000
   6.1765E+01   6.5167E+01   0.0000E+00  0.0000
   6.5167E+01   6.8757E+01   0.0000E+00  0.0000
   6.8757E+01   7.2545E+01   0.0000E+00  0.0000
   7.2545E+01   7.6541E+01   0.0000E+00  0.0000
   7.6541E+01   8.0757E+01   0.0000E+00  0.0000
   8.0757E+01   8.5206E+01   0.0000E+00  0.0000
   8.5206E+01   8.9900E+01   0.0000E+00  0.0000
   8.9900E+01   9.4852E+01   0.0000E+00  0.0000
   9.4852E+01   1.0008E+02   0.0000E+00  0.0000
   1.0008E+02   1.0559E+02   0.0000E+00  0.0000
   1.0559E+02   1.1141E+02   0.0000E+00  0.0000
   1.1141E+02   1.1754E+02   0.0000E+00  0.0000
   1.1754E+02   1.2402E+02   0.0000E+00  0.0000
   1.2402E+02   1.3085E+02   0.0000E+00  0.0000
   1.3085E+02   1.3806E+02   0.0000E+00  0.0000
   1.3806E+02   1.4566E+02   0.0000E+00  0.0000
   1.4566E+02   1.5369E+02   0.0000E+00  0.0000
   1.5369E+02   1.6215E+02   0.0000E+00  0.0000
   1.6215E+02   1.7109E+02   0.0000E+00  0.0000
   1.7109E+02   1.8051E+02   0.0000E+00  0.0000
   1.8051E+02   1.9045E+02   0.0000E+00  0.0000
   1.9045E+02   2.0094E+02   0.0000E+00  0.0000
   2.0094E+02   2.1201E+02   0.0000E+00  0.0000
   2.1201E+02   2.2369E+02   0.0000E+00  0.0000
   2.2369E+02   2.3601E+02   0.0000E+00  0.0000
   2.3601E+02   2.4902E+02   0.0000E+00  0.0000
   2.4902E+02   2.6273E+02   0.0000E+00  0.0000
   2.6273E+02   2.7721E+02   0.0000E+00  0.0000
   2.7721E+02   2.9248E+02   0.0000E+00  0.0000
   2.9248E+02   3.0859E+02   0.0000E+00  0.0000
   3.0859E+02   3.2559E+02   0.0000E+00  0.0000
   3.2559E+02   3.4352E+02   0.0000E+00  0.0000
   3.4352E+02   3.6245E+02   0.0000E+00  0.0000
   3.6245E+02   3.8241E+02   0.0000E+00  0.0000
   3.8241E+02   4.0348E+02   1.0000E+00  0.3162
   4.0348E+02   4.2570E+02   0.0000E+00  0.0000
   4.2570E+02   4.4915E+02   0.0000E+00  0.0000
   4.4915E+02   4.7389E+02   0.0000E+00  0.0000
   4.7389E+02   5.0000E+02   0.0000E+00  0.0000

#   sum over                 1.0000E+00

'no. =  1,  reg  =    100'
msuc: {\huge Total Energy Deposition in silicon}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.17}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 1.00000000000000000E+01 # Total source weight or Total source weight / maxcas
# resc3  = 1.00000000000000000E+01 # Total history number or Total batch number
# maxcas =          10 # History / Batch, only used for istdev=1
# rijklst= 148844717761569.0 # Next initial random number
